a	日
b	月
u	山
e	水
o	人
r	口
q	手
k	大
nc	小
ym	上
my	下
l	中
mk	天
gpd	地
d	木
f	火
g	土
c	金
v	女
nd	子
p	心
bu	目
sj	耳
ryo	足
ck	父
wyi	母
onf	你
hqi	我
opd	他
hapi	的
amyo	是
mf	不
nn	了
kb	有
klg	在
pd	也
yfiku	就
gi	去
doo	來
oq	年
jmso	家
hbnd	學
mbwu	電
jwj	車
an	門
dw	東
mcw	西
jbtj	南
lmp	北
uu	出
